Problem,Hardware,Device,Compiled,Correctness,Ref_PyTorch_Runtime_ms,Ref_PyTorch_Compiled_Runtime_ms,Triton_Runtime_ms,Speedup,Speedup_vs_Compiled,Status,Error_Message,Timestamp
6_Matmul_with_large_K_dimension_,NVIDIA A100-SXM4-80GB,0,True,True,3.8600,3.9600,1.3800,2.80,2.87,SUCCESS,,2025-11-16 15:05:32
23_Softmax,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FAILED,No valid kernel found,2025-11-16 15:50:59
40_LayerNorm,NVIDIA A100-SXM4-80GB,0,True,True,10.1000,0.8920,0.5670,17.81,1.57,SUCCESS,,2025-11-16 16:33:36
50_conv_standard_2D__square_input__square_kernel,NVIDIA A100-SXM4-80GB,0,True,True,3.3400,2.7400,3.1800,1.05,0.86,SUCCESS,,2025-11-16 16:52:28
90_cumprod,NVIDIA A100-SXM4-80GB,0,True,True,9.1200,5.4200,55.3000,0.16,0.10,SUCCESS,,2025-11-16 17:27:29
1_Conv2D_ReLU_BiasAdd,NVIDIA A100-SXM4-80GB,0,True,True,7.3100,5.8800,6.5200,1.12,0.90,SUCCESS,,2025-11-16 18:10:53
3_ConvTranspose3d_Sum_LayerNorm_AvgPool_GELU,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FAILED,No valid kernel found,2025-11-16 18:47:31
35_Conv2d_Subtract_HardSwish_MaxPool_Mish,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FAILED,No valid kernel found,2025-11-16 19:22:11
66_Matmul_Dropout_Softmax,NVIDIA A100-SXM4-80GB,0,True,True,4.4300,4.7800,2.4000,1.85,1.99,SUCCESS,,2025-11-16 19:46:56
97_Matmul_BatchNorm_BiasAdd_Divide_Swish,NVIDIA A100-SXM4-80GB,0,True,True,8.5400,8.2200,8.1400,1.05,1.01,SUCCESS,,2025-11-16 20:14:51
